osm_id,existing_maxspeed,highway,classification,mean_curvature,population,segment_length_km,cap_reason,rf_rec_10pct,rf_rec_20pct,rf_rec_30pct,rf_rec_40pct,rf_rec_50pct,rf_rec_60pct,rf_rec_70pct,rf_rec_80pct,rf_rec_90pct,rf_rec_100pct,has_valid_rec
4357072,40,tertiary,Urban,0.0008335606838,887399,1.140205509,Urban - short/dense/curvy,,,,,,,,,,,False
637270100,30,trunk,Urban,0.001292791216,3325385,0.5478540515,Urban - short/dense/curvy,,,,,,,,,,,False
55654761,30,tertiary,Urban,0.001621081012,600783,0.5653866961,Urban - short/dense/curvy,,,,,,,,,,,False
23212247,40,tertiary,Urban,0.004934589665,887399,2.281312617,Urban - short/dense/curvy,,,,,,,,,,,False
30614940,20,tertiary,Urban,0.001608994225,703141,3.821069752,Urban - short/dense/curvy,39.999999781895404,39.999999781896406,39.99999978189645,79.9999986502376,,,,,,,True
275299485,40,tertiary,Urban,0.0005829474809,887399,1.788207576,Urban - short/dense/curvy,,,,,,,,,,,False
47418240,40,tertiary,Urban,0.001487988327,3325385,1.168832581,Urban - short/dense/curvy,,,,,,,,,,,False
388985773,60,secondary,Urban,0.007646237732,5243536,21.31576722,Urban - short/dense/curvy,,,,,,,,,,,False
45095313,20,tertiary,Urban,0.01117185376,366358,0.1211655283,Urban - short/dense/curvy,,,,,,,,,,,False
102155148,15,tertiary,Urban,0.00142181603,1503456,2.215742977,Urban - short/dense/curvy,30.0,30.0,,,,,,,,,True
103387665,40,tertiary,Rural,0.001063305819,205424,0.7306809212,Rural - short or curved,,,,,,,,,,,False
116553679,40,tertiary,Urban,0.003889849521,2051899,3.502921322,Urban - short/dense/curvy,,,,,,,,,,,False
124691529,40,secondary,Urban,0.0016951458,1503456,12.38279434,Urban - short/dense/curvy,,,,,,,,,,,False
67200769,40,tertiary,Urban,0.002177849102,2960048,0.4251982233,Urban - short/dense/curvy,,,,,,,,,,,False
38663728,40,tertiary,Urban,0.0003749244083,1503456,2.498150784,Urban - short/dense/curvy,,,,,,,,,,,False
596568239,60,secondary,Urban,0.001013910328,209170,0.8211067437,Urban - major/long road,,,,,,,,,,,False
732916981,40,tertiary,Rural,0.004223514978,828655,4.099072892,Rural - short or curved,,,,,,,,,,,False
157402555,40,tertiary,Urban,0.01077808453,3325385,1.985312533,Urban - short/dense/curvy,,,,,,,,,,,False
80216589,40,primary,Urban,0.001755715332,174302,0.5299185528,Urban - major/long road,50.0,,,,,,,,,,True
