,IRR
const,75.30255704728408
lanes,1.0131341707918395
maxspeed,0.8187008965147151
segment_width,1.0670434544020746
mean_curvature,1.2915524204864754
population,1.373730877147868
segment_length_km,0.2382785136472709
aadt_curv_interaction,0.7563895925847798
bridge,0.8653662727502974
tunnel,0.9861298827641872
lit,1.1598542930564313
sidewalk,1.0245434537929432
oneway,0.9897685964168828
cycleway,0.9540612663237262
urban,1.2253365751024732
highway_secondary,0.9106427677846202
highway_tertiary,1.0966738012507944
highway_trunk,0.9811358906682266
