osm_id,existing_maxspeed,highway,classification,rf_rec_10pct,rf_rec_20pct,rf_rec_30pct,rf_rec_40pct,rf_rec_50pct,rf_rec_60pct,rf_rec_70pct,rf_rec_80pct,rf_rec_90pct,rf_rec_100pct
269944886,60,secondary,Urban,,,,,,,,,,
389682614,40,tertiary,Urban,,,,,,,,,,
782901154,80,secondary,Urban,,,,,,,,,,
163214932,30,tertiary,Urban,,,,,,,,,,
53456183,30,secondary,Urban,,,,,,,,,,
157402436,40,tertiary,Urban,,,,,,,,,,
84883410,60,secondary,Urban,,,,,,,,,,
23519600,40,tertiary,Urban,,,,,,,,,,
31888590,40,tertiary,Urban,,,,,,,,,,
225520527,80,primary,Rural,,,,,,,,,,
191850306,50,secondary,Urban,,,,,,,,,,
31536714,40,tertiary,Urban,,,,,,,,,,
31759712,30,secondary,Rural,,,,,,,,,,
237456935,40,tertiary,Urban,,,,,,,,,,
13752930,30,tertiary,Urban,,,,,,,,,,
732015271,60,tertiary,Urban,,,,,,,,,,
497536845,60,primary,Urban,,,,,,,,,,
108422456,40,tertiary,Urban,,,,,,,,,,
23907787,30,tertiary,Urban,,,,,,,,,,
1009021143,40,tertiary,Urban,,,,,,,,,,
57743591,40,tertiary,Urban,,,,,,,,,,
202390943,40,secondary,Urban,,,,,,,,,,
91362842,40,tertiary,Urban,,,,,,,,,,
13752595,30,tertiary,Urban,,,,,,,,,,
770972272,40,primary,Urban,,,,,,,,,,
97677545,30,secondary,Urban,,,,,,,,,,
246869360,40,tertiary,Urban,,,,,,,,,,
149096526,40,tertiary,Urban,,,,,,,,,,
108179548,60,secondary,Urban,,,,,,,,,,
85049429,60,secondary,Urban,,,,,,,,,,
266119608,30,tertiary,Urban,,,,,,,,,,
72472581,60,secondary,Urban,,,,,,,,,,
5707692,30,tertiary,Urban,,,,,,,,,,
166219950,30,tertiary,Urban,,,,,,,,,,
23520149,60,secondary,Urban,,,,,,,,,,
155436839,40,secondary,Urban,,,,,,,,,,
115233269,40,tertiary,Urban,,,,,,,,,,
91734406,60,trunk,Urban,,,,,,,,,,
28788664,40,tertiary,Urban,,,,,,,,,,
28951497,40,tertiary,Urban,,,,,,,,,,
20528779,30,tertiary,Urban,,,,,,,,,,
23241531,40,tertiary,Urban,,,,,,,,,,
31536627,40,tertiary,Urban,,,,,,,,,,
45095282,30,tertiary,Urban,,,,,,,,,,
124692807,40,secondary,Rural,,,,,,,,,,
58494774,40,secondary,Urban,,,,,,,,,,
628700841,40,tertiary,Urban,,,,,,,,,,
903548635,80,primary,Urban,,,,,,,,,,
29354754,40,tertiary,Urban,,,,,,,,,,
133256157,40,tertiary,Urban,,,,,,,,,,
29671193,40,tertiary,Urban,,,,,,,,,,
1297142511,80,tertiary,Urban,,,,,,,,,,
705703226,30,tertiary,Urban,,,,,,,,,,
30265735,60,trunk,Urban,,,,,,,,,,
208719904,40,tertiary,Urban,,,,,,,,,,
53728264,40,tertiary,Urban,,,,,,,,,,
681683031,40,trunk,Urban,,,,,,,,,,
158171558,30,tertiary,Urban,,,,,,,,,,
108782088,40,primary,Rural,,,,,,,,,,
311852376,60,secondary,Urban,,,,,,,,,,
250252317,40,tertiary,Urban,,,,,,,,,,
579458299,40,tertiary,Urban,,,,,,,,,,
152948619,40,tertiary,Rural,,,,,,,,,,
364051677,60,tertiary,Urban,,,,,,,,,,
27421930,20,tertiary,Urban,,,,,,,,,,
587032745,40,tertiary,Urban,,,,,,,,,,
884700472,40,tertiary,Urban,,,,,,,,,,
51774810,40,tertiary,Urban,,,,,,,,,,
333003198,30,primary,Urban,,,,,,,,,,
23525865,30,trunk,Urban,,,,,,,,,,
4196131,40,tertiary,Urban,,,,,,,,,,
1121139516,30,tertiary,Urban,,,,,,,,,,
388995187,40,tertiary,Rural,,,,,,,,,,
32686458,30,secondary,Urban,,,,,,,,,,
157508590,40,tertiary,Urban,,,,,,,,,,
290794347,40,tertiary,Urban,,,,,,,,,,
28833618,50,primary,Urban,,,,,,,,,,
23976154,30,primary,Urban,,,,,,,,,,
639286550,40,tertiary,Urban,,,,,,,,,,
117892485,20,tertiary,Urban,,,,,,,,,,
28063499,30,primary,Urban,,,,,,,,,,
38363414,60,secondary,Urban,,,,,,,,,,
556852184,40,tertiary,Urban,,,,,,,,,,
340081624,80,trunk,Rural,,,,,,,,,,
4357042,30,tertiary,Urban,,,,,,,,,,
824717249,40,secondary,Urban,,,,,,,,,,
28296718,40,tertiary,Urban,,,,,,,,,,
887866209,40,tertiary,Urban,,,,,,,,,,
