osm_id,segment_length_km,population,aadt_curv_interaction,composite_risk,priority
4794370,0.5855160075,2960048,1.17137810328,0.5673301181937164,False
259050024,0.5185557949,2051899,18.25861219336,0.4002572830625797,False
43323900,1.369169652,174302,1.4116290549,0.03956780814398798,False
455553996,1.006737913,5243536,57.451766920688,1.031140050920967,True
48811097,4.749277527,887399,15.6515857287648,0.20533558527379012,False
1291050586,0.2762624361,2960048,1.5570897346619998,0.5653667403376789,False
908997429,2.402250841,5243536,11.2393849435677,1.0211902395714003,True
233576853,0.7332150794,2051899,2.1841671550167003,0.3949345745596306,False
23520512,0.8107681166,209170,5.147549261563699,0.04398270061650898,False
161964181,3.135071351,5243536,37.895442182089994,1.0375036379293108,True
27276449,0.1469314789,2960048,2.021044855074,0.5646736556209806,False
921326553,0.6099172391,2051899,1.4903949324084,0.39379330867879037,False
23518792,0.4160567435,209170,93.600720064883,0.07868026582341456,False
911226737,0.02505096873,887399,72.607485208356,0.19694022883185178,False
28312347,0.273860487,230998,19.562136465011,0.05056584691160116,False
686558017,1.661426436,5243536,55.344228429644,1.034750483546734,True
206474849,1.121797258,121033,0.0455965479578,0.02709218543748463,False
4990014,0.2240200039,2960048,1.34485233477,0.5649177394655637,False
1017404592,1.748886913,19471,5.4961046402332,0.014268371884532076,False
94507662,0.4519780667,703141,84.463366637662,0.16961940651674856,False
32834724,1.60669412,3325385,164.115187264956,0.7132034089621478,False
762983076,1.485455728,2051899,3.2374034555634,0.40055266928858413,False
88521252,10.95198051,3325385,78.03026125395999,0.7410542338425721,False
133117359,2.267263159,1275185,1.1577398917802,0.25636899491609516,False
165193727,0.4260652405,2051899,0.42666358662070003,0.39207917890838645,False
28817564,4.004079215,3325385,9.201887089772999,0.6641671579549944,False
337410401,0.2884209476,251881,0.6380310999048,0.04665938488070347,False
170314091,0.3235134061,2051899,1.1758560109725,0.3916908776993695,False
550428767,0.937286157,697315,18.235422773229597,0.14382985860644568,False
229319847,0.2025065253,19471,16.48369090765,0.008282270384887038,False
23004631,20.46349131,887399,99.565632932164,0.34888290942587524,False
564504389,6.240681677,828655,13.389396452948,0.20338922190155642,False
91661834,0.2643285013,703141,383.316690406791,0.2947305928714619,False
239063465,1.04346064,2051899,41.601138769344004,0.41373951900281364,False
530040094,0.6795254259,651813,45.896236329825,0.14504662670109514,False
247340762,4.304869759,1275185,197.841661012055,0.3535686193749078,False
46872232,2.843556272,3325385,119.025659568928,0.7026375861052911,False
124006450,6.242312907,1275185,6.33273436064,0.28589137064055803,False
1353194532,0.7875455393,1503456,34.20472698511,0.303867469450189,False
28260672,0.5178372685,2960048,4.185340242258,0.568139510181683,False
530281038,0.4205510074,2960048,0.142650351522,0.5657606658054781,False
32687155,2.055468953,3325385,119.019144258688,0.6972157152727626,False
836159854,8.437918953,3325385,22.914484722948,0.7004553279173784,False
334814826,1.091363606,38302,14.049213913769002,0.016969297284188993,False
55269214,2.794181555,600783,29.659248488828,0.1429518396796303,False
29336099,1.648660164,366358,232.432878254798,0.17596497438728298,False
153136133,0.9241922108,19471,48.50974049525,0.026790367801162077,False
31009925,61.76437326,1503456,25.6627497418,0.7195488084429451,False
23172010,0.2144157721,2960048,2.669650962258,0.5654120282575772,False
166490681,3.835967307,2051899,33.436871891698004,0.4294884804852882,False
24636322,5.262525956,38302,19.903999542178003,0.048127720779721425,False
630175329,0.08598669666,3325385,12.56022879384,0.6386456540499197,False
171980879,2.705784152,5243536,13.432083747936,1.02420483495362,True
25612872,0.5354127992,251881,0.970495610305,0.04849838945478918,False
248442790,0.4454197545,2051899,5.168861374875,0.3942180025584852,False
4794436,0.6005125663,2960048,5.278173186174,0.5691702285149544,False
80731825,5.06943199,2051899,4.944968168167,0.42591934432345585,False
157554424,4.826541021,5243536,6.7100683643856,1.0359446590879295,True
37334825,1.067332832,3325385,18.629060435748,0.6479605153381564,False
4960406,2.465809754,2960048,2.596479638634,0.580862312854886,False
45652152,0.428170258,3325385,100.505261439336,0.6781954012474766,False
28316152,2.002015989,3325385,7.26484770692,0.6495811146265157,False
207272564,18.86756198,121033,16.574534373108,0.1561081668892137,False
245824782,3.818075962,2051899,70.918252431734,0.44521839316059325,False
25800032,1.610734188,3325385,12.168283226580002,0.6489644811395654,False
151324871,2.428944312,697315,3.6682464,0.1479256686223227,False
485773059,0.2130257504,366358,3.245992234621,0.06915739114056298,False
4896142,10.56792867,2960048,0.8249574526619999,0.6358255393822191,False
674668140,12.57186637,5243536,47.671407854032,1.1065285495056896,True
1123799169,0.1236326037,2051899,2.3339121648126997,0.3908062454775026,False
49040124,5.999771625,3325385,3.249380032054,0.6753724703092108,False
18329100,3.976325099,2960048,3.172240882398,0.5914925720820359,False
23519796,1.001699571,209170,129.400187025144,0.09784887929292121,False
194245163,23.33737946,2051899,17.559949567202,0.5568705770028454,False
27905622,0.6295942049,887399,37.143018377247,0.18609736716157912,False
59471366,0.0919959635,230998,590.81983249784,0.29093161435939013,False
887866211,0.04295077608,2960048,0.0729372,0.5631346924454136,False
251446498,8.306177438,2051899,2.8347208335266,0.4472835975405443,False
29339571,2.424059763,366358,88.597528619544,0.12046095942742877,False
1061169996,0.08964346558,2960048,1.184490319782,0.563925901803997,False
4270604,4.032763265,828655,29.092347035812,0.1948485817038098,False
620642399,0.7006615499,3325385,246.629552737182,0.7418731348727872,False
24375212,1.19239138,2960048,0.6568722217848,0.5712855550072088,False
10587290,2.62883136,2960048,1.66925911719,0.5815911237309496,False
160452789,0.2438716043,1503456,13.6002485977915,0.291414243121931,False
104660762,17.57593499,697315,25.632795554991898,0.2613707512374318,False
1190057624,0.4161503387,251881,77.90893554135,0.08021980720759984,False
23961512,0.1129565421,38302,772.3710069569901,0.33097751120991314,False
98461318,0.744710892,600783,32.150288775792,0.12991268777726597,False
53144589,0.19882352,2960048,2.340161364324,0.5651654521607841,False
99453423,0.6926345418,3325385,198.13057616190002,0.7213050524004643,False
13845345,0.6380522938,2960048,0.016758,0.5672030204246851,False
127522020,5.08405499,5243536,7.1588101060432,1.0379051968093231,True
95484714,0.2401119373,3325385,47.483941453259995,0.654476623745367,False
105702256,4.845657048,5243536,88.496489856575,1.0706680853571227,True
149848410,1.031660179,3325385,143.970547949954,0.7007290334619858,False
144905294,0.6158018947,2960048,0.5096856185946,0.5672585064981186,False
