osm_id,lanes,segment_width,mean_curvature,population,segment_length_km,composite_risk,priority
38663728,2,20.12554241,0.0003749244083,1503456,2.498150784,0.5056305473854934,False
596568239,2,21.98574746,0.001013910328,209170,0.8211067437,0.26532455057468135,False
732916981,2,24.02282798,0.004223514978,828655,4.099072892,0.44907019702375517,False
157402555,2,20.13964263,0.01077808453,3325385,1.985312533,0.9414766207681823,False
80216589,3,21.98343795,0.001755715332,174302,0.5299185528,0.46308525270905737,False
263321260,2,20.06784514,0.002219482608,1503456,4.404639825,0.5343726221271363,False
48115044,2,20.79402246,0.00428053295,19471,0.3915494371,0.2458819094100159,False
259915558,4,21.64677355,0.0008151420779,2051899,0.3821708947,1.0108698250701185,False
109201331,2,21.05171503,0.01612312525,366358,0.2934576959,0.4165060671826504,False
98123748,2,21.31248363,0.002609337563,2051899,0.2388488987,0.6230830860358711,False
124339691,2,21.00519392,0.009272359721,887399,4.872992495,0.4877934210117129,False
317104847,4,28.8090974,0.003609017715,600783,1.485280157,0.8166624042964503,False
34942238,2,24.73460659,0.00212622086,5243536,11.51572392,1.33206130082271,True
148284280,2,21.03987039,0.0001473342148,1503456,0.6032574206,0.49721715818511053,False
29177253,2,21.17496614,0.001576747507,5243536,0.2669094863,1.2242486733600115,False
31656740,2,26.44481705,0.000863559579,728402,29.61094868,0.5935468913760291,False
4357068,2,20.19753546,0.0002950874321,2960048,1.587693894,0.7780182462397288,False
532958223,2,21.00567178,0.004209695268,2960048,0.3115067721,0.8091327558986887,False
151816018,4,23.51050769,0.0002007480779,2960048,0.7475730014,1.1953226736845182,False
946196369,2,22.70358807,0.005261257505,5243536,5.321587355,1.3020921394622174,True
130101691,2,20.1542958,0.0002468861009,1275185,2.032752905,0.4578277251622128,False
539934647,2,28.16069691,0.005153058948,5243536,3.601454817,1.3286941045050287,True
1178699392,2,22.27304921,0.0003966819339,174302,0.1379884746,0.25065527520992487,False
56243343,2,21.16793935,2.6e-06,2051899,0.2685540399,0.599564300944599,False
1089074095,2,24.87674729,1.2e-05,887399,0.06431640366,0.4020889791310034,False
439830685,2,20.77281422,0.0005447769918,728402,0.4058580348,0.3490287998826477,False
380038046,2,25.68641135,0.001037318047,887399,0.2218025593,0.41793428450594333,False
4935817,2,49.15953577,0.001352231533,2960048,1.158233036,0.9932155208880135,False
135843923,2,20.07639852,0.0067333971,1503456,3.805440892,0.5695878663941714,False
1082504224,2,20.80220226,0.005670720518,38302,0.3906135053,0.26163462917747615,False
23977308,3,31.17089097,0.001538045381,38302,6.486343136,0.5424009685383809,False
28775973,2,20.65112312,0.007331390766,2960048,0.4799150112,0.8348934591990546,False
235499038,2,20.45362695,0.0003257778296,205424,0.6914277798,0.24667479113675073,False
29493102,2,22.95119906,0.005778244609,703141,0.2946818151,0.4046795869776818,False
206490656,2,20.56018448,0.0003275131081,19471,1.210908858,0.2154353120458957,False
28533687,2,21.36816958,0.001878765284,1503456,3.218565962,0.5326338593988348,False
846584622,2,21.73429178,0.01239207484,728402,1.370803701,0.46567951902525906,False
621411304,4,20.10726828,0.00204641865,3325385,6.484858549,1.2962124243181232,True
938462472,2,48.95081966,0.1149345139,366358,0.05029390758,1.4758371990752253,True
98690680,2,21.10278437,0.003878676525,887399,0.2839388006,0.4100135342239133,False
154271429,2,20.73357578,0.0003405134364,1503456,0.4275655919,0.49547999892174666,False
267606597,2,20.85277501,0.0009564965212,372910,0.3677557735,0.2848769785167813,False
53729048,2,21.57996112,0.001334757933,3325385,0.4540601541,0.8591760978058335,False
53627678,2,20.44104501,0.003596865186,2051899,0.7098682975,0.6286268599982532,False
29495262,2,24.83152123,0.003720299464,703141,0.4890710557,0.40167687871650776,False
