osm_id,composite_risk,priority,other_feature_recommendation
68310849,0.6118208423684356,False,Intervene due to high lanes
85049443,0.2789817513468055,False,Intervene due to high lanes
94081019,0.22622683855429782,False,Intervene due to high lanes
553976430,0.31071533184821976,False,Intervene due to high segment_width
25845123,0.2478474490903086,False,Intervene due to high lanes
26302583,0.38549967454490003,False,Intervene due to high lanes
23520669,0.3202257966286868,False,Intervene due to high lanes
173056931,0.21233356748380122,False,Intervene due to high lanes
799533700,0.529475088724393,False,Intervene due to high segment_width
369348565,0.2061861733886259,False,Intervene due to high lanes
127012099,0.23713657906936475,False,Intervene due to high lanes
28957488,0.2609925808734749,False,Intervene due to high lanes
113778936,0.20631781501010094,False,Intervene due to high lanes
247106404,0.27128601330945656,False,Intervene due to high lanes
211228422,0.24512676690351412,False,Intervene due to high lanes
372150049,0.21507942600608226,False,Intervene due to high lanes
28819598,0.7204047859077248,True,Intervene due to high lanes
222494313,0.21890217353164856,False,Intervene due to high lanes
269944886,0.752185284387591,True,Intervene due to high lanes
389682614,0.26564272748189355,False,Intervene due to high lanes
782901154,0.2756309305596384,False,Intervene due to high lanes
163214932,0.2132854919794714,False,Intervene due to high lanes
53456183,0.22195369772160647,False,Intervene due to high lanes
157402436,0.21797227784442466,False,Intervene due to high lanes
84883410,0.23127352259268041,False,Intervene due to high lanes
23519600,0.2699656050515262,False,Intervene due to high lanes
31888590,0.21909362367168256,False,Intervene due to high lanes
225520527,0.26466368403913176,False,Intervene due to high lanes
191850306,0.4547753580351613,False,Intervene due to high lanes
31536714,0.2890884482627861,False,Intervene due to high lanes
31759712,0.6742537561530705,True,Intervene due to high lanes
237456935,0.26080914127121,False,Intervene due to high lanes
13752930,0.6177826289499293,False,Intervene due to high lanes
732015271,0.30541287772999637,False,Intervene due to high lanes
497536845,0.6333842485006339,True,Intervene due to high lanes
108422456,0.23498800256509722,False,Intervene due to high lanes
23907787,0.2470812085084418,False,Intervene due to high lanes
